table_type,level_code,id,subtopic_id,question_type,difficulty,dok,prompt,answer,source,source_url,source_activity_id,data_talk_type,title,data_source,big_idea_cluster
exemplar,EM3,em3_ex_001,em3_m1_s1,math_talk_prompt,medium,2,Repeated addition by 2,,math_talk,,em3_m1_d1_mt,,,,
exemplar,EM3,em3_ex_002,em3_m1_s1,math_talk_prompt,medium,2,Expressions for a 2x4 array of triangles,,math_talk,,em3_m1_d2_mt,,,,
exemplar,EM3,em3_ex_003,em3_m1_s1,math_talk_prompt,medium,2,Repeated addition with 9,,math_talk,,em3_m1_d3_mt,,,,
exemplar,EM3,em3_ex_004,em3_m1_s2,math_talk_prompt,medium,2,Expressions for 6 die with 3s represented,,math_talk,,em3_m1_d4_mt,,,,
exemplar,EM3,em3_ex_005,em3_m1_s2,math_talk_prompt,medium,2,The product of two factors is 12. What are the two factors?,,math_talk,,em3_m1_d5_mt,,,,
exemplar,EM3,em3_ex_006,em3_m1_s3,math_talk_prompt,medium,2,What are the equations that represent a figure of 3x5?,,math_talk,,em3_m1_d6_mt,,,,
exemplar,EM3,em3_ex_007,em3_m1_s3,math_talk_prompt,medium,2,Solve for 4x5,,math_talk,,em3_m1_d7_mt,,,,
exemplar,EM3,em3_ex_008,em3_m1_s3,math_talk_prompt,medium,2,How many square units are in a 3x3 figure?,,math_talk,,em3_m1_d8_mt,,,,
exemplar,EM3,em3_ex_009,em3_m2_s1,math_talk_prompt,medium,2,"Missing number: 12, 14, 16, __",,math_talk,,em3_m2_d1_mt,,,,
exemplar,EM3,em3_ex_010,em3_m2_s1,math_talk_prompt,medium,2,How many squares in a 3X4 square?,,math_talk,,em3_m2_d2_mt,,,,
exemplar,EM3,em3_ex_011,em3_m2_s1,math_talk_prompt,medium,2,"Missing number: 25, 29, 33, __",,math_talk,,em3_m2_d3_mt,,,,
exemplar,EM3,em3_ex_012,em3_m2_s2,math_talk_prompt,medium,2,The product of two factors is 18. What are the two factors?,,math_talk,,em3_m2_d4_mt,,,,
